tile_id,tile_wet_g,tile_dry_g,bd_wet_g,bd_dry_g
1.11,52.29,22.5,78.36,36.23
1.12,73.66,37.25,90.85,44.76
1.13,130.83,72.76,118.17,70.13
1.14,6.35,3.64,116.82,70.96
1.15,596.99,285.71,126.79,68.09
1.21,0,0,131.42,88.86
1.22,1.17,1.09,115.52,79
1.23,47.13,30.74,127.93,76.64
1.24,9.31,6.59,124.95,81.26
1.25,253,198.8,106.45,81.89
1.31,2.11,1.32,93.31,76.34
1.32,1.21,0.95,115.39,60.23
1.33,148.42,108.32,110.78,74.62
1.34,366.68,285.85,122.63,94.36
1.35,68.73,59.51,143.05,114.52
1.41,4.11,3,89.43,62.77
1.42,3.35,2.6,100.2,68.52
1.43,60.23,46.27,96.62,62.67
1.44,85.44,68.47,114.95,87.19
1.45,211.63,156.01,74.66,50.54
1.51,22.9,19.22,106.81,78.49
1.52,64.27,52.48,135.14,91.32
1.53,116.06,65.85,100.17,51.9
1.54,717.37,349.57,109.05,49.27
1.55,681.8,353.99,127.25,66.08
2.11,0,0,105.65,72.68
2.12,7.39,6.59,84.99,57.01
2.13,5.52,4.13,122.53,74.09
2.14,87.1,58.22,111.56,72.03
2.15,65.86,45.48,100.95,66.85
2.21,0,0,128.59,87.2
2.22,28.09,22.12,109.42,68.44
2.23,0.29,0.27,103.63,69.32
2.24,7.13,6.47,98.94,67.72
2.25,168.66,119.82,124.48,75.74
2.31,1.55,1.12,115.18,75.48
2.32,10.32,7.45,98.81,65.48
2.33,59.61,44.68,85,45.99
2.34,6.64,6.48,116.31,71.79
2.35,473.9,332.41,131.86,89.72
2.41,12.36,7.83,100.6,61.54
2.42,21.53,19.54,70.37,50.38
2.43,7.05,6.93,115.14,73.99
2.44,89.34,60.19,118.55,80.24
2.45,331.5,251.88,83.72,65.27
2.51,27.78,27.69,109.09,62.12
2.52,6.59,5.36,83.58,50.96
2.53,4.95,4.17,104.36,64.39
2.54,3.47,3.35,89.27,47.73
2.55,28.96,17.9,44.54,23.99
3.11,0,0,118.4,84.71
3.12,45.28,35.14,80.68,49.86
3.13,156.31,101.51,100.65,69.48
3.14,93.05,52.24,114.11,75.55
3.15,155.09,102.24,66,43.02
3.21,1.44,0.61,114.03,72.46
3.22,2.67,2.3,114.86,78.68
3.23,42.06,30.91,105.37,68.52
3.24,60.56,45.58,110.22,75.12
3.25,838.37,636.43,117.8,83.1
3.31,11.72,8.04,94.63,60.12
3.32,12.48,8.37,62.31,40.58
3.33,5.67,4.77,74.34,46.88
3.34,63.68,47.8,104.81,71.17
3.35,348.65,186.21,118.72,64.33
3.41,40.83,21.46,132.82,81.07
3.42,12.44,7.18,82.75,53.12
3.43,12.28,9.08,59.24,39.39
3.44,72.15,41.95,85.59,59.24
3.45,165.09,64.98,127.53,60.73
3.51,2.79,2.14,105.29,69.18
3.52,14.02,11.06,68.9,44.32
3.53,1.84,1.45,84.44,54.78
3.54,20.98,14.31,112.73,72.96
3.55,68.32,54.7,82.39,62.24
